Year,Team,Week,PrevRank,RankDiff,Conference,H/A/N,Fav/Und,OppTeam,Opp Conf,ScoreDiff,WinLose,OT?,TODiff,YPPDiff,PenYdDiff,TOPDiff,GameStatus,WinPer,TimeRem,Rank,,,,,,,,,,,,
2018,N.C. State,9,22,-24,ACC,A,F,Syracuse,ACC,-10,Lose,N,1,0.31,30,-164,Completed,71.429,0,41,,,,,,,,,,,,
2018,California,9,50,35,PAC 12,H,U,Washington  ,PAC 12,2,Win,N,-2,-0.28,6,386,Completed,62.5,0,42,,,,,,,,,,,,
2018,Buffalo,9,41,,MAC,N,P,BYE,MAC,0,DNP,N,,,,,DNP,87.5,0,43,,,,,,,,,,,,
2018,Appalachian State,9,25,-19,Sun Belt,A,F,Georgia Southern,Sun Belt,-20,Lose,Y,5,-1.73,81,-328,Completed,71.429,0,44,,,,,,,,,,,,
2018,Boise State,9,50,0,MWC,A,F,Air Force,MWC,10,Win,N,0,1.07,-10,-342,Completed,75,0,45,,,,,,,,,,,,
2018,Duke,9,43,-7,ACC,A,F,Pittsburgh,ACC,-9,Lose,N,1,-0.89,-14,-476,Completed,62.5,0,46,,,,,,,,,,,,
2018,FIU,9,50,0,CUSA,A,F,W. Kentucky,CUSA,21,Win,N,-1,1.25,31,364,Completed,75,0,47,,,,,,,,,,,,
2018,"Miami, FL",9,30,-7,ACC,A,F,Boston College,ACC,-13,Lose,N,1,-1.15,-42,-192,Completed,62.5,0,48,,,,,,,,,,,,
2018,Pittsburgh,9,50,7,ACC,H,U,Duke,ACC,9,Win,N,-1,0.89,14,476,Completed,50,0,49,,,,,,,,,,,,
2018,Colorado,9,42,-8,PAC 12,H,F,Oregon State,PAC 12,-7,Lose,Y,-1,2.51,8,-386,Completed,62.5,0,50,,,,,,,,,,,,
2018,Purdue,9,33,-1,Big 10,A,F,Michigan State,Big 10,-10,Lose,N,2,0.52,-31,-986,Completed,50,0,50,,,,,,,,,,,,
2018,South Carolina,9,45,-5,SEC,H,F,Tennessee,SEC,3,Win,N,1,1.9,-66,-1026,Completed,57.143,0,50,,,,,,,,,,,,
2018,Texas Tech,9,26,-24,Big 12,A,U,Iowa State,Big 12,-9,Lose,N,2,-0.93,60,-480,Completed,62.5,0,50,,,,,,,,,,,,
2018,Virginia Tech,9,47,-3,ACC,H,F,Georgia Tech,ACC,-21,Lose,Y,1,0.98,37,-1476,Completed,57.143,0,50,,,,,,,,,,,,
2018,Alabama,10,1,-3,SEC,A,F,LSU,SEC,29,Win,N,0,2.84,45,636,Completed,100,0,1,,,,,,,,,,,,
2018,Clemson,10,2,-48,ACC,H,F,Louisville,ACC,61,Win,N,-1,6.96,-85,-902,Completed,100,0,2,,,,,,,,,,,,
2018,Notre Dame,10,3,-24,Independent,A,F,Northwestern,Big 10,10,Win,N,1,2.66,58,-48,Completed,100,0,3,,,,,,,,,,,,
2018,Michigan,10,5,-9,Big 10,H,F,Penn State,Big 10,35,Win,N,-3,1.88,45,952,Completed,88.889,0,4,,,,,,,,,,,,
2018,Georgia,10,6,-5,SEC,A,F,Kentucky,SEC,17,Win,N,0,1.5,-19,170,Completed,88.889,0,5,,,,,,,,,,,,
